id,strongest,weakest,animal_name,animal_description,animal_description_long
,가장 강한 유형,가장 약한 유형,동물 유형명_수정,동물 설명,설명글
1,근력,근지구력,파워히어로 곰,한 방은 강하지만 지구력은 없어요,"한 방에 엄청난 힘을 발휘하지만 5분만 버티면 탈진하는 순간 파워 곰. 무거운 걸 들어올리는 건 자신 있지만, 플랭크 1분은 고문이랍니다. 가벼운 무게로 반복 횟수를 늘려가며 지구력을 키워보세요!"
2,근력,심폐지구력,숨찬 고릴라,힘은 세지만 조금만 움직여도 헥헥거려요,"헬스장에서 무거운 바벨을 번쩍 들어올리지만, 계단 3층만 올라가도 숨이 턱까지 차오르는 숨찬 고릴라. 힘은 세지만 오래 움직이는 건 약점이에요. 가벼운 조깅으로 심폐 지구력을 키워보는 건 어때요?"
3,근력,유연성,중량치는 뻣뻣 코끼리,힘은 엄청난데 몸이 뻣뻣해요,중량 운동에서는 최강이지만 스트레칭만 하면 비명이 나오는 뻣뻣한 코끼리. 힘은 엄청나지만 몸은 나무판자처럼 뻣뻣해요. 운동 전후 5분 스트레칭으로 유연성을 조금씩 키워보세요!
4,근력,순발력,느긋한 들소,무게는 버티지만 반응이 느려요,묵직한 힘으로 무거운 걸 버티지만 빠른 반응이 필요하면 당황하는 느린 들소. 천천히 움직이는 건 좋지만 순간 반응은 약해요. 가벼운 민첩성 훈련으로 반응 속도를 올려보는 건 어떨까요?
5,근력,민첩성,우직한 걸음걸이 하마,힘은 세지만 재빠르게 못 움직여요,엄청난 힘으로 밀어붙이지만 방향 전환은 서툰 묵직한 하마. 직진은 강하지만 재빠른 움직임은 약점이에요. 좌우 스텝 연습으로 민첩성을 키워보세요!
6,근지구력,근력,끈기가득 다람쥐,오래 버티지만 순간 파워는 약해요,끈기 있게 오래오래 버티지만 순간 파워는 약한 끈기 다람쥐. 플랭크 3분도 거뜬하지만 무거운 건 못 들어요. 가벼운 덤벨로 근력 운동을 시작해보는 건 어떨까요?
7,근지구력,심폐지구력,복근짱짱 개미,버티기는 잘하는데 달리기는 힘들어요,복근 운동은 100개도 가능하지만 달리기만 시작하면 금방 지치는 플랭크 개미. 버티기는 최고지만 심폐는 약해요. 가벼운 유산소 운동으로 심폐 지구력을 키워보세요!
8,근지구력,유연성,양철로봇 일개미,열심히 일하지만 몸이 경직돼있어요,플랭크 5분도 끄떡없지만 앞으로 몸 숙이기는 고문인 뻣뻣 일개미. 버티는 힘은 최강이지만 몸은 나무처럼 뻣뻣해요. 매일 5분 스트레칭으로 유연성을 조금씩 개선해보세요!
9,근지구력,순발력,한 발 느린 비버,꾸준히 일하지만 반응은 느려요,꾸준히 오래 버티는 건 잘하지만 빠른 반응은 어려운 느긋한 비버. 끈기는 최고지만 순간 반응은 느려요. 반응 속도 게임으로 재미있게 순발력을 키워보세요!
10,근지구력,민첩성,오래오래 걷는 두더지,끈기는 있지만 민첩하진 않아요,묵묵히 오래 버티는 건 잘하지만 재빠른 움직임은 서툰 묵묵한 두더지. 끈기는 있지만 민첩성은 약해요. 좌우 이동 연습으로 민첩성을 키워보는 건 어떨까요?
11,심폐지구력,근력,마라톤 끝판왕 사슴,끝없이 달리지만 힘은 약해요,끝없이 달릴 수 있지만 무거운 물건만 보면 피하는 마라톤 사슴. 지구력은 최고지만 힘은 약해요. 가벼운 근력 운동으로 균형을 맞춰보세요!
12,심폐지구력,근지구력,유산소만랩 토끼,달리기는 잘하지만 버티기는 못해요,달리기는 끝도 없이 잘하지만 윗몸일으키기 10개면 포기하는 유산소 토끼. 심폐는 최강이지만 근지구력은 약해요. 코어 운동으로 버티는 힘을 키워보세요!
13,심폐지구력,유연성,낭만여행가 뻣뻣 늑대,오래 달리지만 몸이 뻣뻣해요,10km를 거뜬히 달리지만 신발 끈 묶으려 허리 숙이면 비명이 나오는 뻣뻣 러너 공주. 달리기 후엔 꼭 스트레칭을 해야 하지만 늘 까먹는답니다. 오늘부터 5분만 스트레칭 루틴을 만들어보세요!
14,심폐지구력,순발력,반응느린 능글여우,장거리는 좋지만 순간 반응은 느려요,마라톤은 완주하지만 100m 전력질주는 힘든 느긋한 여우. 장거리는 강하지만 순간 반응은 느려요. 짧은 거리 스프린트로 순발력을 키워보세요!
15,심폐지구력,민첩성,당근에게 일편단심 말,앞으로 달리기는 잘하지만 방향 전환은 서툴러요,앞으로만 달리는 건 최고지만 지그재그는 어려운 직진 말. 직선 코스는 강하지만 방향 전환은 약해요. 콘 드리블 연습으로 민첩성을 키워보는 건 어떨까요?
16,유연성,근력,말랑말랑 문어,말랑말랑하지만 힘이 없어요,"몸은 부드럽게 휘어지지만 무거운 물건만 보면 도망가는 고무줄 공주. 요가 매트 위에서는 여왕이지만, 장바구니 들기는 여전히 숙제랍니다. 가벼운 덤벨로 천천히 시작해보는 건 어떨까요?"
17,유연성,근지구력,5분 요가 뱀,유연하지만 오래 버티진 못해요,요가 자세는 완벽하게 잡지만 5분만 버티면 포기하는 5분 뱀. 유연성은 최고지만 버티는 힘은 약해요. 자세 유지 시간을 조금씩 늘려보세요!
18,유연성,심폐지구력,숨찬 유연 고양이,유연한데 조금만 뛰어도 힘들어요,개다리 찢기는 완벽하지만 계단만 올라가도 숨차는 숨찬 고양이. 스트레칭은 최고지만 유산소는 약해요. 가벼운 산책으로 심폐 지구력을 키워보세요!
19,유연성,순발력,느긋한 젠틀 표범,몸은 유연한데 반응이 느려요,몸은 부드럽게 휘어지지만 빠르게 반응하는 건 귀찮아하는 느긋한 고양이 공주. 스트레칭 타임에는 완벽하지만 반사 게임에서는 꼴찌랍니다. 가벼운 민첩성 운동으로 반응 속도를 올려보는 건 어떨까요?
20,유연성,민첩성,발레하는 팬더,유연하지만 민첩하진 않아요,어떤 자세든 완벽하게 구부리지만 빠르게 움직이는 건 싫어하는 슬로우 팬더. 유연성은 완벽하지만 민첩성은 약해요. 스텝 운동으로 재빠른 움직임을 연습해보세요!
21,순발력,근력,번개비행 참새,반응은 빠르지만 힘이 약해요,0.1초 만에 반응하지만 무거운 건 못 드는 번개 참새. 순간 반응은 최고지만 힘은 약해요. 가벼운 근력 운동으로 파워를 키워보세요!
22,순발력,근지구력,전력질주 치타,순간 스피드는 최고지만 금방 지쳐요,출발선에서는 모두를 앞서지만 100m만 달리면 금방 지쳐버리는 단거리 치타. 순간의 스피드는 최고지만 긴 호흡이 필요한 순간엔 약해요. 짧은 거리를 여러 번 반복하는 인터벌 훈련으로 지구력을 키워보세요!
23,순발력,심폐지구력,낚아채는 독수리,처음 반응은 빠른데 오래 못 가요,처음 5초는 번개처럼 빠르지만 그 뒤로는 지쳐버리는 5초 독수리. 순간 스피드는 최고지만 오래 못 가요. 유산소 운동으로 스태미나를 키워보세요!
24,순발력,유연성,부딪히는 매,빠르지만 몸이 뻣뻣해요,빠르게 질주하지만 몸 숙이기는 고문인 뻣뻣 매. 순발력은 최고지만 유연성은 약해요c
25,순발력,민첩성,직진 콘도르,직선 비행은 빠른데 방향 전환은 느려요,직선으로 날아가는 건 빠르지만 방향 전환은 느린 직진 콘도르. 순발력은 최고지만 민첩성은 약해요. 지그재그 달리기로 방향 전환 능력을 키워보세요!
26,민첩성,근력,하늘하늘 나비,재빠르지만 힘이 없어요,재빠르게 이리저리 움직이지만 힘은 약한 나비 공주. 민첩성은 최고지만 무거운 건 못 들어요. 가벼운 근력 운동으로 파워를 더해보세요!
27,민첩성,근지구력,쏜살 벌새,민첩하지만 금방 지쳐요,처음엔 재빠르게 움직이지만 5분만 지나면 지치는 5분 벌새. 민첩성은 최고지만 버티는 힘은 약해요. 인터벌 훈련으로 지구력을 키워보세요!
28,민첩성,심폐지구력,의지박약 다람쥐,재빠르게 움직이지만 오래 못해요,재빠르게 이리저리 움직이지만 금방 숨차는 숨찬 다람쥐. 민첩성은 최고지만 심폐는 약해요. 가벼운 유산소로 스태미나를 키워보세요!
29,민첩성,유연성,뻣뻣 족제비,민첩한데 몸이 경직돼있어요,빠르게 방향 전환하지만 몸은 뻣뻣한 뻣뻣 족제비. 민첩성은 최고지만 유연성은 약해요. 동적 스트레칭으로 유연성을 개선해보세요!
30,민첩성,순발력,지그재그 원숭이,방향 전환은 잘하는데 반응은 느려요,좌우로 방향 전환은 잘하지만 순간 반응은 느린 지그재그 원숭이. 민첩성은 최고지만 순발력은 약해요. 반응 속도 훈련으로 순발력을 키워보세요!
31,근력,근력,완벽주의 사자,모든 면에서 힘이 넘치는 만능 동물이에요,"모든 면에서 힘이 넘치는 완벽한 사자 공주. 근력도, 근지구력도, 모든 게 완벽해요. 지금의 컨디션을 유지하면서 다른 체력 요소도 균형있게 발전시켜보세요!"
32,근지구력,근지구력,끝없는 음유시인 낙타,사막을 횡단하는 지칠 줄 모르는 동물이에요,지치지 않고 끝없이 버틸 수 있는 끝없는 낙타. 사막도 횡단하는 무한 지구력의 소유자예요. 이제 다른 체력 요소도 골고루 키워서 완벽한 밸런스를 만들어보세요!
33,심폐지구력,심폐지구력,무한방랑자 늑대,끝없이 달릴 수 있는 스태미나의 왕이에요,숨이 차는 걸 모르는 심폐 최강 무한 늑대. 끝없이 달릴 수 있는 스태미나의 왕이에요. 이제 근력과 유연성도 함께 발전시켜 완벽한 몸을 만들어보세요!
34,유연성,유연성,흐르는 우아 고양이,어떤 자세도 가능한 유연함의 끝판왕이에요,몸의 모든 관절이 자유로운 요가의 여왕 완벽한 고양이. 어떤 자세도 완벽하게 소화해요. 이제 근력과 심폐 지구력도 함께 키워서 진정한 올라운더가 되어보세요!
35,순발력,순발력,우사인볼트 치타,순간 스피드로는 누구도 따라올 수 없어요,0.1초의 반응속도로 움직이는 번개 같은 최고 치타. 순간 스피드로는 누구도 따라올 수 없어요. 이제 지구력도 함께 키워서 오래 달리는 치타가 되어보세요!
36,민첩성,민첩성,금메달 클라이머 원숭이,나무에서 자유롭게 날아다니는 민첩함의 달인이에요,어떤 방향으로도 자유자재로 움직이는 완벽한 원숭이. 나무에서 날아다니는 민첩함의 달인이에요. 이제 근력과 지구력도 함께 발전시켜 완벽한 몸을 만들어보세요!
